ENS	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000209082	2954.146361	2.553600042	0.165029052	15.47363936	5.23E-54	4.95E-50
ENSG00000110092	2650.392935	-1.903691612	0.142078719	-13.39885114	6.14E-41	2.91E-37
ENSG00000130513	882.3127535	1.953627825	0.16958138	11.5202968	1.04E-30	3.29E-27
ENSG00000070669	1296.279376	1.709197952	0.15886175	10.7590276	5.37E-27	1.27E-23
ENSG00000106211	2655.586811	1.708958483	0.162922969	10.48936499	9.67E-26	1.83E-22
ENSG00000165949	1053.587648	1.682218647	0.162469452	10.3540612	4.01E-25	6.33E-22
ENSG00000099194	2062.169741	1.565258259	0.163584225	9.56851591	1.08E-21	1.47E-18
ENSG00000175592	2971.713425	-1.473005715	0.162191485	-9.081893037	1.07E-19	1.26E-16
ENSG00000168209	1434.194608	1.680911025	0.186539566	9.011016048	2.04E-19	2.15E-16
ENSG00000210049	3862.716031	1.276362026	0.142634192	8.948499682	3.60E-19	3.41E-16
ENSG00000159167	470.9994462	-1.973789994	0.228518896	-8.637316346	5.75E-18	4.96E-15
ENSG00000140044	376.8034384	1.665157741	0.197829334	8.417142727	3.86E-17	3.05E-14
ENSG00000186480	294.0980797	1.954026062	0.24014158	8.136975118	4.05E-16	2.95E-13
ENSG00000113739	1171.102378	1.288120777	0.1632717	7.889430783	3.04E-15	2.05E-12
ENSG00000089356	1534.043956	1.146310448	0.149692788	7.657753356	1.89E-14	1.20E-11
ENSG00000124942	1481.391868	-1.167820984	0.154844847	-7.541878259	4.63E-14	2.74E-11
ENSG00000210077	250.4822299	1.809655403	0.241874317	7.48180058	7.33E-14	4.09E-11
ENSG00000211459	13864.13735	0.961435072	0.130826278	7.34894461	2.00E-13	1.05E-10
ENSG00000115758	3734.854637	-1.022704101	0.141701109	-7.217333052	5.30E-13	2.64E-10
ENSG00000135069	2407.272339	1.160772141	0.162899007	7.125716499	1.04E-12	4.91E-10
ENSG00000124225	756.175058	-1.326427549	0.194834489	-6.80797098	9.90E-12	4.47E-09
ENSG00000163347	321.0795354	1.500769871	0.228073724	6.58019628	4.70E-11	2.02E-08
ENSG00000198786	10891.03133	1.033533984	0.157271497	6.571654758	4.98E-11	2.05E-08
ENSG00000091986	207.7910365	1.485552178	0.228198113	6.509923155	7.52E-11	2.85E-08
ENSG00000135114	470.8961468	1.218088287	0.187039106	6.51247921	7.39E-11	2.85E-08
ENSG00000128965	188.9071273	1.586865027	0.245190745	6.471961347	9.67E-11	3.53E-08
ENSG00000198886	92496.90029	1.048703358	0.162224321	6.464526119	1.02E-10	3.57E-08
ENSG00000185215	2325.117305	1.003492779	0.157975708	6.352196769	2.12E-10	7.18E-08
ENSG00000210082	86780.21335	0.902947182	0.142669408	6.32894741	2.47E-10	8.07E-08
ENSG00000026508	2503.576846	-1.00705737	0.160728829	-6.26556775	3.71E-10	1.17E-07
ENSG00000151012	700.6272014	1.064631532	0.170238563	6.253762436	4.01E-10	1.22E-07
ENSG00000169174	206.7670411	1.574342891	0.25378552	6.203438594	5.52E-10	1.64E-07
ENSG00000147676	2577.351748	0.9126796	0.147304225	6.195882042	5.80E-10	1.66E-07
ENSG00000131620	247.2713847	-1.403465798	0.228219702	-6.149625936	7.77E-10	2.16E-07
ENSG00000091409	959.4010473	-0.979485225	0.160822056	-6.090490637	1.13E-09	2.96E-07
ENSG00000269028	151.3758673	1.582824507	0.259758541	6.093445468	1.11E-09	2.96E-07
ENSG00000198763	32816.43411	1.049081658	0.172544282	6.080072013	1.20E-09	3.08E-07
ENSG00000163191	4940.328903	0.820451435	0.136348373	6.017317388	1.77E-09	4.42E-07
ENSG00000113657	1038.867122	-1.0769093	0.180838304	-5.955095096	2.60E-09	6.19E-07
ENSG00000117228	158.8308793	1.519851183	0.255250368	5.954354516	2.61E-09	6.19E-07
ENSG00000188042	1420.077679	-1.205320004	0.203529957	-5.92207665	3.18E-09	7.35E-07
ENSG00000128340	2764.886902	-0.880064508	0.148866451	-5.911771941	3.38E-09	7.64E-07
ENSG00000131016	909.3387692	-1.154137501	0.195491686	-5.903767711	3.55E-09	7.83E-07
ENSG00000163435	1680.727447	0.878845575	0.150463778	5.840911255	5.19E-09	1.12E-06
ENSG00000072274	3554.001822	-0.808286747	0.139162778	-5.80821079	6.31E-09	1.33E-06
ENSG00000107731	158.8808235	1.410526157	0.243417291	5.794683492	6.85E-09	1.41E-06
ENSG00000197641	239.4630007	1.309546489	0.227416547	5.758360614	8.49E-09	1.71E-06
ENSG00000072310	390.6452154	1.241460437	0.217897792	5.697443851	1.22E-08	2.37E-06
ENSG00000149485	1309.290794	1.003737803	0.176220919	5.695906062	1.23E-08	2.37E-06
ENSG00000135046	2467.06552	0.923820943	0.162618496	5.680909411	1.34E-08	2.54E-06
ENSG00000143537	331.0546599	1.179335354	0.208124569	5.666487905	1.46E-08	2.71E-06
ENSG00000178209	524.1282514	-1.059297875	0.188534284	-5.618595486	1.93E-08	3.51E-06
ENSG00000121552	2592.564022	0.904664865	0.161732644	5.593582343	2.22E-08	3.98E-06
ENSG00000139112	247.032992	1.223819105	0.22200249	5.512636831	3.53E-08	6.20E-06
ENSG00000115756	1228.768295	-1.000351354	0.182811298	-5.472043393	4.45E-08	7.56E-06
ENSG00000125746	259.4814702	1.231891883	0.225154434	5.471319655	4.47E-08	7.56E-06
ENSG00000100292	74.02530437	1.525398412	0.280472126	5.438680952	5.37E-08	8.92E-06
ENSG00000210112	73.61903516	1.549786874	0.286366658	5.411897056	6.24E-08	1.02E-05
ENSG00000052802	469.215453	1.07887006	0.202772441	5.320595113	1.03E-07	1.66E-05
ENSG00000201413	62.17422526	1.53915952	0.289753263	5.311966131	1.08E-07	1.71E-05
ENSG00000146278	136.340951	1.386703011	0.2617802	5.297203565	1.18E-07	1.83E-05
ENSG00000079459	1026.779582	0.871578021	0.165422026	5.268814827	1.37E-07	2.07E-05
ENSG00000126709	459.6735949	0.989693729	0.187792265	5.270151708	1.36E-07	2.07E-05
ENSG00000204498	161.4886761	1.345098276	0.255666591	5.261142136	1.43E-07	2.12E-05
ENSG00000121858	114.4400057	1.453529432	0.27664387	5.254153771	1.49E-07	2.17E-05
ENSG00000100065	532.8467469	-0.950697642	0.181052474	-5.250950851	1.51E-07	2.17E-05
ENSG00000163931	2085.282688	0.888901344	0.170391508	5.216817162	1.82E-07	2.57E-05
ENSG00000166897	301.0285245	-1.141050875	0.218906338	-5.212507252	1.86E-07	2.60E-05
ENSG00000111206	1521.966375	-0.822511986	0.158224421	-5.198388352	2.01E-07	2.75E-05
ENSG00000130766	291.6880963	1.218361178	0.234460792	5.196438901	2.03E-07	2.75E-05
ENSG00000163453	650.3598471	1.01005214	0.194905227	5.182273227	2.19E-07	2.93E-05
ENSG00000166508	3654.134244	-0.718156334	0.139199583	-5.159184521	2.48E-07	3.26E-05
ENSG00000167658	16944.18828	-0.687260069	0.134128802	-5.123881361	2.99E-07	3.89E-05
ENSG00000179262	792.5056389	0.951676412	0.186172181	5.111807838	3.19E-07	4.09E-05
ENSG00000167004	848.4836901	1.011328891	0.198912864	5.084280988	3.69E-07	4.66E-05
ENSG00000182782	120.6658692	1.301618867	0.257547567	5.053896975	4.33E-07	5.40E-05
ENSG00000119917	736.8734502	0.850623984	0.169028715	5.032422936	4.84E-07	5.96E-05
ENSG00000135378	405.7327482	0.980370362	0.195178235	5.022949217	5.09E-07	6.18E-05
ENSG00000146733	903.4988534	0.874336852	0.174658036	5.005992694	5.56E-07	6.67E-05
ENSG00000182944	2539.46508	-0.708052484	0.143156458	-4.946004494	7.58E-07	8.97E-05
ENSG00000180921	929.5318037	-0.797281842	0.161748616	-4.929141654	8.26E-07	9.66E-05
ENSG00000185222	715.4764274	0.887384246	0.180576069	4.914185192	8.92E-07	0.000103025
ENSG00000164045	414.7556084	-0.984848321	0.201499544	-4.887595782	1.02E-06	0.000116537
ENSG00000100304	1894.935388	-0.722692657	0.148736641	-4.858874381	1.18E-06	0.000133177
ENSG00000228253	6209.594649	1.370148834	0.28257974	4.848715747	1.24E-06	0.000138532
ENSG00000198918	3227.742676	0.67679014	0.140194488	4.82750891	1.38E-06	0.000152334
ENSG00000198727	24073.48625	0.637992321	0.13264785	4.809669505	1.51E-06	0.000164665
ENSG00000051523	135.3363039	1.215251171	0.25341947	4.795413594	1.62E-06	0.000172846
ENSG00000183010	1520.020317	0.752561406	0.15689645	4.796548335	1.61E-06	0.000172846
ENSG00000178921	504.9800142	-0.95678869	0.201160366	-4.75634793	1.97E-06	0.000207552
ENSG00000173391	128.909138	1.224693774	0.258074182	4.745510636	2.08E-06	0.000216574
ENSG00000141756	335.7553475	1.0966999	0.231512405	4.737110729	2.17E-06	0.00022329
ENSG00000115652	346.7472214	0.949215128	0.203332776	4.668283916	3.04E-06	0.000309474
ENSG00000117362	2146.298507	0.81173161	0.174261579	4.658121516	3.19E-06	0.000321688
ENSG00000100416	1098.11137	-0.754363475	0.162467931	-4.643153088	3.43E-06	0.000342265
ENSG00000126432	806.1908861	0.76176684	0.164989011	4.617076225	3.89E-06	0.000384157
ENSG00000137936	681.3863957	-0.785515078	0.170342408	-4.611388839	4.00E-06	0.000390751
ENSG00000264229	82.0669203	1.263781264	0.274832403	4.598370684	4.26E-06	0.00041173
ENSG00000142871	2445.180791	0.698641581	0.152038094	4.59517457	4.32E-06	0.000413869
ENSG00000043143	717.4541729	0.845095063	0.184108292	4.590206427	4.43E-06	0.000418405
ENSG00000198911	632.7459567	0.825316288	0.179857347	4.588727117	4.46E-06	0.000418405
ENSG00000040341	658.0311655	0.894740562	0.195117237	4.585656182	4.53E-06	0.00042044
ENSG00000153140	1984.265012	0.759136175	0.166479716	4.559931931	5.12E-06	0.000470766
ENSG00000134363	1814.511478	-0.687805632	0.150968577	-4.555952265	5.21E-06	0.000475156
ENSG00000181885	2098.386112	0.665768428	0.146207294	4.553592433	5.27E-06	0.000475943
ENSG00000156587	392.0861184	0.940142366	0.206577948	4.55102966	5.34E-06	0.000477233
ENSG00000138413	420.3519369	0.991767325	0.219296231	4.522500548	6.11E-06	0.000541224
ENSG00000104549	1236.959061	0.789374054	0.175437133	4.499469643	6.81E-06	0.000597718
ENSG00000100889	307.9633197	0.965460546	0.215264599	4.484994524	7.29E-06	0.000633899
ENSG00000212907	15940.27375	0.703249002	0.157525728	4.46434376	8.03E-06	0.000691873
ENSG00000146670	488.2780715	-0.831265757	0.186378425	-4.46009647	8.19E-06	0.00069937
ENSG00000072042	2942.486971	0.641251078	0.143942312	4.454917177	8.39E-06	0.00071007
ENSG00000137752	91.60081379	1.248249192	0.280537652	4.449488976	8.61E-06	0.00071458
ENSG00000169504	465.377903	0.85422252	0.191971339	4.449739864	8.60E-06	0.00071458
ENSG00000248527	4507.81557	0.598089509	0.134466116	4.447882685	8.67E-06	0.00071458
ENSG00000067064	553.5243218	0.991609707	0.22323379	4.442023346	8.91E-06	0.000727993
ENSG00000163683	156.0046795	1.076789534	0.244405656	4.405747197	1.05E-05	0.000853811
ENSG00000172965	390.1479265	0.952803906	0.216658324	4.39772582	1.09E-05	0.000878466
ENSG00000164758	191.5272574	1.042663653	0.237343762	4.393052698	1.12E-05	0.000890027
ENSG00000123983	1636.003237	0.658179266	0.149944287	4.389492107	1.14E-05	0.000897185
ENSG00000101160	140.5612547	1.127510843	0.257248591	4.382962165	1.17E-05	0.000914127
ENSG00000102804	493.3306479	-0.817365127	0.186535407	-4.381822951	1.18E-05	0.000914127
ENSG00000137267	900.433171	-0.781257798	0.178453099	-4.3779447	1.20E-05	0.000922976
ENSG00000173621	294.2939973	-0.915916437	0.209317944	-4.375718681	1.21E-05	0.000924927
